url,category,title,description,image,course,cuisine,diet,prepTime,cookTime,totalTime,servings,calories,author,instructions,notes,ingredientsItem,ingredientsAmount,ingredientsUnit,cool,marinate,marinatingTime,restTime,restProof,coolingTime,refrigerate,restingTime,overnight,letCool,3Hours,coolTime,chillTime,marinateTime,highCooking,measuring,coolDown,simmeringTime,chill,refrigerationTime,marinade,restTime40,marinating,assemble,marinateOptional,cost,rest,freeze
https://healthyfitnessmeals.com/leftover-turkey-soup-recipe/,main-courses,Leftover Turkey Soup,"This Leftover Turkey Soup Recipe is great to enjoy after the big feast! It’s easy to make, filled with nutritious vegetables and plenty of leftover turkey meat. So warm and comforting and the absolute best way to use up leftover turkey.","https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-300x300.jpg 300w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-1024x1024.jpg 1024w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-768x768.jpg 768w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7-500x500.jpg 500w, https://healthyfitnessmeals.com/wp-content/uploads/2022/11/Leftover-turkey-soup-recipe-7.jpg 1200w","main course, soup",american,"gluten free, low calorie",10 minutes,45 minutes,55 minutes,6,241.0,rena,"Heat the oil in a soup pot and add the onion, carrots, celery, and garlic. Sauté for 4-6 minutes.Add the leftover turkey, bay leaves, and broth. Simmer the soup for 30 minutes, then stir in the orzo and peas.Cook for 10 more minutes, or until the orzo is done.Taste and adjust the seasoning, then garnish with fresh chopped parsley.","
To store: Seal in an airtight container and refrigerate for up to 3-5 days. Rewarm leftovers in a large pot on the stovetop over medium-low heat, adding a bit more broth or water, as needed. You can also reheat this soup in the microwave until hot. 
To freeze: Place in a freezer-safe airtight container and freeze for up to 3 months. Be sure to label the soup with the date, so you know when it went into the freezer. Let thaw overnight in the fridge before reheating.
","['olive oil', 'onion', 'carrots', 'stalks of celery', 'garlic', 'leftover turkey', 'low-sodium stock', 'bay leaves', 'orzo', 'frozen peas', 'kosher salt and ground pepper', 'chopped parsley']","['1', '1', '2', '2', '1', '2', '6', '2', '1/2', '1 1/2', '2', '1']","['tbsp', 'medium', 'clove', 'cups', 'cups', 'cup', 'cups', 'tbsp', 'units', 'units', 'units', 'units']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/steel-cut-oats/,breakfast,Steel Cut Oats Breakfast Bowl Recipe,"Easy to make oatmeal breakfast bowl topped with sliced bananas, peanut butter, and roasted peanuts.","https://healthyfitnessmeals.com/wp-content/uploads/2021/08/Steel-cut-oatmeal-breakfast-9-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2021/08/Steel-cut-oatmeal-breakfast-9-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2021/08/Steel-cut-oatmeal-breakfast-9-500x500.jpg 500w",breakfast,american,vegan,5 minutes,30 minutes,35 minutes,4,464.0,rena,"To a saucepan over medium-low heat, add the milk and steel-cut oats.Cook for 30 minutes, stirring occasionally.Once the time is almost up, and the oatmeal is dense and creamy, peel and mash the bananas.Add the mashed bananas, coconut oil, maple syrup, peanut butter, and mix well.Add the chopped peanuts and serve warm with banana slices and extra maple syrup.","
The Nutrition facts include bananas, peanut butter, and roasted peanuts.
Top with any other toppings of choice. Swap the bananas with apples or pairs.
Use berries for a lower calorie option.
You can use any other nut butter in place of peanut butter.
Store the cooked oatmeal in the fridge for up to 7 days and reheat when ready to serve.
","['almond milk', 'steel-cut oats', ' overripe bananas', 'coconut oil', 'maple syrup', 'peanut butter', 'roasted peanuts']","['4', '1', '3', '1', '1/4', '2', '1/4']","['cups', 'cup', 'large', 'tbsp', 'cup', 'tbsp', 'cup']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/air-fried-buffalo-chicken-wings/,snacks,Easy Air Fried Buffalo Chicken Wings,"These Air Fried Buffalo Chicken Wings are crispy on the outside, tender on the inside, and slathered in a classic, homemade Buffalo sauce that coats every nook and cranny of the wing.","https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-300x300.jpg 300w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-1024x1024.jpg 1024w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-768x768.jpg 768w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5-500x500.jpg 500w, https://healthyfitnessmeals.com/wp-content/uploads/2022/03/Air-fried-Buffalo-chicken-wings-5.jpg 1200w","appetizer, main course",american,low lactose,10 minutes,20 minutes,30 minutes,4,389.0,rena,"Place the wings in a large Ziploc bag and add in the garlic powder, smoked paprika, salt, pepper, and oil. Seal the bag and mix/toss thoroughly to evenly coat the wings.  Air-fry the chicken wings in batches, at 400°F for 10 minutes. Make sure the wings have plenty of space and are not overlapping.While the wings are cooking, make the sauce. In a large bowl, combine all of the buffalo sauce ingredients. Once the first batch of wings is done, transfer to the bowl with the buffalo sauce and stir or toss to coat. Repeat with the remaining batches of air fried chicken wings.Repeat steps with remaining chicken; cooking in batches until all are cooked and coated in the sauce.  When all wings are cooked and coated, repeat the cooking process in the air-fryer, working in batches, and air fry at 400°F for an additional 5-6 minutes.","
Storage: Store any leftover wings in an airtight container or bag in the fridge for up to 3 days.
Freeze: Allow buffalo wings to come to room temperature, then place in a freezer-safe, airtight container or bag, and freeze for up to 3 months.
Reheat: Reheat wings in the air fryer at 350°F for about 5 minutes, until hot and warmed through.
Tip: The wings are safe to consume, when using a meat thermometer registers to 165°F when inserted into the thickest part of the wing. 
","['chicken wings', 'avocado oil', 'garlic powder', 'smoked paprika', 'kosher salt', 'ground pepper', 'coconut butter or oil', 'honey', 'hot sauce of choice']","['2', '1', '1', '1', '½', '½', '2', '2', '½']","['lbs', 'tbsp', 'tsp', 'tsp', 'tsp', 'tsp', 'tbsp', 'tbsp', 'cup']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/easy-peanut-butter-cookies/,snacks,Easy 3 Ingredient Peanut Butter Cookies,Easy to make peanut butter cookies made with 3 simple ingredients and baked to perfection.,"https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-300x300.jpg 300w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-1024x1024.jpg 1024w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-768x768.jpg 768w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1-500x500.jpg 500w, https://healthyfitnessmeals.com/wp-content/uploads/2022/04/3-ingredient-peanut-butter-cookies-1.jpg 1200w",dessert,american,low lactose,5 minutes,15 minutes,20 minutes,12,205.0,rena,"Preheat oven to 350° FIn a medium bowl, add the peanut butter, egg, sugar, and vanilla extract.Using a hand mixer, mix the ingredients until they are nicely combined and creamy looking. At this point, you may place the dough for a couple of hours in the fridge so it thickens up and easier to handle.Line a sheet pan with parchment paper. Using a scooper or a spoon, scoop out about 1-inch of cookie dough. Using your hands roll them into a ball and place them on the sheet pan.Repeat the last step until you have rolled all the dough and lined it up on the sheet pan. Space then out a bit.Using a fork, press down and flatten each of the cookie balls in opposite directions to make a pattern. Place in the preheated oven and baked for 10-12 minutes or until they are golden crisp on the sides.Remove the cookies from the oven and allow them to cool for about 3-5 minutes before transferring them to a rack or plate. Enjoy.","
Makes about 12 cookies, the serving size is one cookie 
Use creamy peanut butter
Once you mix the dough, you may place it in the fridge so the dough gets a bit thicker and easier to handle.
Allow the egg to reach room temperature.
The vanilla extract is optional but recommended 
Allow the cookies to cool off completely before serving.
","['creamy peanut butter', 'coconut sugar or brown sugar', 'egg', 'vanilla extract', 'salt flakes']","['1', '1', '1', '1', '1']","['cup', 'cup', 'large', 'teaspoon', 'units']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/caprese-salad-recipe/,side-dishes,Easy Caprese Salad,"Refreshing, full of bold flavors, and extremely satisfying, this easy recipe for Caprese Salad is perfect for those warmer months when you're craving something fresh and delicious. Made with tender mozzarella, ripe tomatoes, and finished with a drizzle of tangy, yet sweet balsamic glaze, this classic well-rounded salad that is ready within minutes! ","https://healthyfitnessmeals.com/wp-content/uploads/2021/04/Caprese-salad-10-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2021/04/Caprese-salad-10-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2021/04/Caprese-salad-10-500x500.jpg 500w","appetizer, salad, side dish, vegetarian","american, italian","gluten free, kosher, vegetarian",10 minutes,,10 minutes,6,318.0,rena,"Using a sharp knife, carefully cut the tomatoes and mozzarella into 1/4” thick slices.Layer the Caprese salad as followed: one slice of tomato, a few basil leaves, followed by a slice of mozzarella.Season with salt and pepper to taste, then drizzle with oil and balsamic glaze.Serve immediately and enjoy!","
If not serving the Caprese salad immediately, then place it in the refrigerator.
Make sure the tomatoes are juicy and ripe. Not too soft and not too hard.
To make this keto, make sure to use a sugar-free balsamic glaze or make your own.
Make sure the mozzarella is fresh and high quality. You may even find some already sliced mozzarella to save on prep time.
Store in the refrigerator for up to four days.
You may also add a dab of pesto in between the layers if you love the taste of pesto
","['tomatoes', 'mozzarella', 'basil leaves', 'extra virgin olive oil', 'kosher salt', 'black pepper', 'balsamic glaze']","['1 ½ ', '1', '1', '3', '½ ', '¼ ', '2']","['pounds', 'pound', 'bunch', 'tablespoons', 'teaspoon', 'teaspoon', 'tablespoons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/strawberries-and-cream-smoothie/,drinks,Strawberries and Cream Smoothie,A thick and creamy drink filled with strawberries,"https://healthyfitnessmeals.com/wp-content/uploads/2018/05/strawberries-and-cream-protein-shake-2-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2018/05/strawberries-and-cream-protein-shake-2-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2018/05/strawberries-and-cream-protein-shake-2-720x720.jpg 720w, https://healthyfitnessmeals.com/wp-content/uploads/2018/05/strawberries-and-cream-protein-shake-2-500x500.jpg 500w","breakfast, drinks",american,,5 minutes,10 minutes,15 minutes,2,171.0,rena,Place all ingredients in a blender and blend until smooth. Pour into a glass and garnish with strawberries and mint sprigs if desired.,,"['almond milk', 'frozen strawberries', 'vanilla greek yogurt', 'banana', 'vanilla extract', 'vanilla protein', 'fresh strawberries and mint sprigs to garnish']","['1', '1', '½', '½', '¼', '1 ', '1']","['cup', 'cup', 'cup', 'tsp', 'scoop ', 'units', 'units']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/crockpot-spinach-artichoke-dip/,snacks,Crockpot Spinach Artichoke Dip,"This Crockpot Spinach Artichoke Dip is rich, creamy and loaded with three kinds of cheese! This classic dip is made even easier in the slow cooker.","https://healthyfitnessmeals.com/wp-content/uploads/2020/11/Spinach-and-artichoke-dip-9-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2020/11/Spinach-and-artichoke-dip-9-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2020/11/Spinach-and-artichoke-dip-9-500x500.jpg 500w","dip, side dish",american,,5 minutes,1 hour 30 minutes,1 hour 35 minutes,12,124.0,rena,"Place all the ingredients into your crockpot.Give it a stir, then cover the pot.Set to cook on HIGH for 1′ 30 minutes, or until bubbly and fully melted.Stir well before serving.Enjoy!","
Ideally, shred your own cheese. Pre shredded cheese contains anti-caking agents, so it doesn’t melt as well as freshly shredded.
Slow cookers can vary in temp, so check in on your dip every 30 mins or so.
You can halve this recipe for a smaller crowd.
If the dip is too thick add a tbsp of milk if needed.
For an extra punch of flavor go for marinated artichoke hearts. You can of course use canned artichoke hearts in water just make sure they’re drained.
Serve warm with crackers, chips, veggies, whatever you like.
","['mozzarella cheese', 'provolone cheese', 'freshly grated parmesan cheese', 'olive oil', 'garlic', 'can artichoke hearts', 'chopped fresh spinach leaves', 'chopped chives', 'freshly ground black pepper']","['6', '6', '1/4', '1', '1', '14', '8', '3', '1/4']","['oz', 'oz', 'cup', 'tbsp', 'clove', 'oz', 'oz', 'tbsp', 'tsp']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/pumpkin-oatmeal-cookies/,desserts,Pumpkin Oatmeal Cookies,"These healthy pumpkin cookies are made with oatmeal, whole wheat flour, pumpkin puree, maple syrup, and then baked to perfection.","https://healthyfitnessmeals.com/wp-content/uploads/2021/09/Pumpkin-oatmeal-cookies-11-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2021/09/Pumpkin-oatmeal-cookies-11-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2021/09/Pumpkin-oatmeal-cookies-11-500x500.jpg 500w",dessert,american,"low fat, low salt",5 minutes,15 minutes,25 minutes,20,82.0,rena,"Preheat the oven to 325°F and line a baking sheet with parchment paper.To a large mixing bowl, add the oats, flour, pumpkin spice mix, and whisk to combine.Next, add the maple syrup, pumpkin purée, vanilla extract, salt, coconut oil and mix well with a wooden spoon.Next, fold in the pumpkin seeds and chocolate chips.Use an ice-cream scoop to take spoonfuls of the mixture and shape them into cookies. They will keep their shape so make sure you give them the final look.Arrange onto the prepared baking sheet; Bake for 13-15 minutes.Let them cool for 5 minutes before serving.","
Vegan option: use dairy-free chocolate chips 
Gluten-free option: use gluten-free flour and oats 
Sugar-free option: replace maple syrup with stevia or any other sweetener of choice. you can also use one large ripe banana instead.
Oats: you may use quick oats or rolled oats.
Coconut oil: use any other oil of choice
Serving size: one cookie 
Use canned pumpkin puree or make your own.
Once cooled, store in a sealed container on the counter for up to 2 days and in the fridge for up to 7 days.
","['instant oats', 'whole wheat flour', 'pumpkin spice mix', 'melted coconut oil', 'pumpkin purée', 'vanilla extract', 'a pinch of kosher salt', 'pure maple syrup', 'raw pumpkin seeds', 'dark chocolate chips', 'optional add ons: 2 tbsp chia seeds']","['1', '¾', '3', '2', '¾', '2', '½', '2', '2', '1', '1']","['cup', 'cup', 'tsp', 'tbsp', 'cup', 'tsp', 'cup', 'tbsp', 'tbsp', 'units', 'units']",5 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/berry-coconut-smoothie-bowl/,breakfast,Berry Coconut Smoothie Bowls,Thick and creamy mixed berry smoothies served in a bowl with a variety of fun toppings.,"https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-300x300.jpg 300w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-768x768.jpg 768w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-720x720.jpg 720w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-500x500.jpg 500w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-400x400.jpg 400w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE-125x125.jpg 125w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/berry-coconut-smoothie-bowl-SQUARE.jpg 800w",breakfast,american,,6 minutes,2 minutes,8 minutes,2,174.0,rena,"Place the berries, banana and coconut milk in the blender and blend until a thick and smooth mixture forms. You may need to add a bit more of the milk to thin to desired consistency.Taste and add sweetener or honey if desired.Divide the smoothie evenly between two bowls and top with fresh berries, shredded coconut, almonds, chia seeds or any other healthy toppings as desired. Serve immediately.",Please keep in mind that the nutritional information is calculated using a nutrition facts calculator. It is a rough estimate and can vary greatly based on products used.,"['frozen mixed berries', 'banana', 'light coconut milk', 'low-calorie sweetener or honey to taste', 'assorted toppings such as fresh berries']","['1 1/2', '1', '3/4', '1', '1']","['cup', 'cup', 'units', 'units', 'units']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://healthyfitnessmeals.com/mexican-shrimp-cocktail-recipe/,side-dishes,Mexican Shrimp Cocktail Recipe,"This easy, Mexican shrimp cocktail recipe is the best ever and so flavorful. Bright citrus, tender shrimp, tangy red onions, juicy tomatoes, and avocados are combined for the most wonderful fresh flavors. Enjoy this Mexican Shrimp cocktail recipe whenever you are craving your favorite restaurant. ","https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-360x360.jpg 360w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-150x150.jpg 150w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-720x720.jpg 720w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-500x500.jpg 500w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-400x400.jpg 400w, https://healthyfitnessmeals.com/wp-content/uploads/2018/01/mexican-shrimp-cocktail-1-125x125.jpg 125w","appetizer, side dish, snack",mexican,low fat,10 minutes,5 minutes,15 minutes,4,234.0,rena,"Place all ingredients in a bowl and stir gently until combined. Spoon into glasses and serve immediately, or store covered in the refrigerator for up to 2 hours.","Please keep in mind that the nutritional information is calculated using a nutrition facts calculator. It is a rough estimate and can vary greatly based on products used.

You can buy cocktail shrimp from the grocery store if you do not want to lightly cook the shrimp at home.
Feel free to add diced jalapeño for a spicy kick.
Store any leftovers in the refrigerator for up to four days. The longer the cocktail sits, the more flavorful it gets.
If storing the shrimp cocktail in the fridge, you may want to wait to add the avocado until just before serving.
","['cooked and peeled shrimp', 'minced red onion', 'tomatoes', 'avocado', 'minced cilantro', 'lime juice', 'olive oil', 'salt and pepper to taste']","['1', '¼', '½', '1', '¼', '2', '1', '1']","['pound', 'cup', 'cup', 'cup', 'tbsp', 'tbsp', 'units', 'units']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
